Service_Type,Department,Current_Queue,Available_Staff,Emergency_Cases,Previous_Average_Wait,Day,Hour,Waiting_Time
Hospital,Cardiology,32,1,11,40,Tuesday,15,60
Government Office,General,41,2,16,44,Monday,18,58
Hospital,Emergency,79,13,15,20,Thursday,20,32
Government Office,General,6,10,11,12,Wednesday,18,8
Government Office,Customer Service,85,7,23,7,Saturday,16,79
Government Office,Customer Service,17,3,6,13,Friday,11,17
Hospital,Emergency,86,13,22,6,Tuesday,13,79
Hospital,General,118,11,0,18,Saturday,9,47
Government Office,Customer Service,52,14,13,51,Tuesday,20,32
Hospital,Loan Department,57,11,15,23,Thursday,19,33
Hospital,Emergency,99,12,22,58,Thursday,8,86
Bank,Customer Service,73,11,3,40,Friday,13,35
Hospital,Emergency,21,7,3,59,Tuesday,16,36
Government Office,General,80,1,20,23,Saturday,20,93
Hospital,Loan Department,71,13,16,48,Tuesday,11,47
Bank,Emergency,68,8,14,9,Tuesday,17,46
Bank,Cardiology,55,5,3,19,Wednesday,11,21
Bank,Emergency,112,3,9,51,Saturday,8,80
Government Office,General,39,5,11,5,Thursday,8,32
Bank,Customer Service,71,5,18,33,Saturday,10,66
Government Office,Cardiology,18,2,0,26,Tuesday,8,14
Hospital,Customer Service,91,5,8,27,Wednesday,10,57
Government Office,Loan Department,30,9,2,42,Friday,12,27
Bank,Loan Department,15,9,14,59,Tuesday,15,42
Government Office,Loan Department,23,14,16,26,Tuesday,20,29
Hospital,Loan Department,61,11,13,48,Thursday,8,39
Hospital,Loan Department,16,7,18,42,Wednesday,8,33
Hospital,Emergency,37,1,4,10,Wednesday,14,49
Government Office,Loan Department,14,8,9,45,Friday,11,26
Government Office,Emergency,7,11,17,56,Friday,20,30
Bank,Customer Service,113,13,0,38,Monday,14,48
Hospital,Emergency,73,8,2,11,Tuesday,8,23
Hospital,Loan Department,27,14,17,36,Wednesday,20,23
Government Office,Cardiology,57,7,0,9,Tuesday,15,31
Hospital,Loan Department,37,9,4,42,Friday,12,23
Hospital,Customer Service,30,1,3,43,Tuesday,9,37
Government Office,Customer Service,76,4,15,25,Saturday,8,54
Government Office,Customer Service,94,7,17,35,Thursday,20,66
Hospital,Cardiology,77,3,18,30,Saturday,17,68
Government Office,Customer Service,110,3,15,28,Monday,16,91
Bank,General,17,2,6,52,Thursday,16,52
Bank,Emergency,23,9,14,26,Monday,12,48
Government Office,Emergency,43,4,7,46,Monday,12,55
Government Office,General,13,9,24,37,Tuesday,12,60
Hospital,Emergency,109,10,5,21,Wednesday,17,42
Bank,Emergency,93,6,3,34,Monday,19,43
Hospital,General,30,8,3,12,Thursday,9,8
Government Office,Cardiology,99,5,12,37,Monday,8,61
Bank,General,100,8,13,39,Tuesday,17,67
Hospital,General,100,7,0,35,Thursday,12,63
Bank,Customer Service,76,9,5,26,Wednesday,15,49
Government Office,General,23,4,19,18,Monday,9,38
Bank,Cardiology,95,12,10,20,Wednesday,11,49
Hospital,Emergency,56,1,15,23,Thursday,18,59
Government Office,General,49,8,15,22,Tuesday,16,51
Bank,Emergency,37,1,11,10,Friday,20,39
Government Office,Cardiology,7,10,24,9,Monday,15,45
Hospital,Customer Service,44,3,17,54,Monday,14,83
Government Office,Loan Department,61,7,15,20,Wednesday,9,48
Bank,Cardiology,45,7,13,47,Friday,13,64
Bank,Emergency,26,11,15,56,Saturday,13,50
Government Office,Customer Service,20,12,16,41,Saturday,20,28
Bank,General,60,5,11,45,Thursday,15,70
Government Office,Cardiology,103,1,24,26,Thursday,10,101
Government Office,General,86,2,6,31,Friday,16,73
Hospital,Emergency,49,1,23,38,Tuesday,11,79
Government Office,Cardiology,20,9,1,59,Thursday,20,14
Hospital,Customer Service,65,6,16,27,Saturday,12,70
Bank,Customer Service,6,8,17,57,Friday,11,32
Government Office,Customer Service,90,11,12,12,Friday,18,48
Hospital,General,81,13,8,11,Friday,11,33
Government Office,General,92,5,4,21,Wednesday,14,67
Hospital,Cardiology,84,5,1,14,Monday,10,28
Hospital,Customer Service,83,13,12,36,Friday,12,66
Hospital,Customer Service,86,8,3,30,Wednesday,18,39
Government Office,Customer Service,35,1,4,17,Monday,17,28
Hospital,Customer Service,75,4,2,19,Thursday,10,35
Government Office,Cardiology,71,13,6,22,Tuesday,15,35
Bank,Customer Service,44,1,9,32,Thursday,13,66
Bank,Customer Service,99,3,2,40,Monday,16,66
Bank,Cardiology,119,13,15,40,Saturday,18,70
Government Office,Customer Service,88,13,0,9,Wednesday,8,20
Bank,Emergency,72,7,19,23,Friday,15,82
Hospital,Cardiology,8,14,18,35,Wednesday,13,29
Government Office,Cardiology,78,5,22,31,Tuesday,13,87
Hospital,Loan Department,94,2,12,17,Monday,13,80
Bank,Cardiology,44,6,15,33,Monday,8,43
Hospital,Customer Service,44,6,15,59,Friday,9,59
Hospital,Loan Department,64,8,21,8,Saturday,18,53
Bank,Customer Service,76,9,1,20,Friday,18,26
Hospital,General,63,3,7,18,Saturday,17,46
Government Office,Cardiology,116,12,4,30,Thursday,15,56
Government Office,Cardiology,112,13,1,46,Saturday,11,32
Government Office,General,40,9,11,13,Monday,8,38
Government Office,Loan Department,93,13,17,10,Wednesday,13,69
Hospital,Loan Department,84,8,12,59,Tuesday,9,64
Bank,Customer Service,59,3,24,17,Tuesday,13,87
Government Office,Customer Service,66,6,21,5,Saturday,14,75
Bank,Cardiology,78,3,4,11,Monday,10,39
Bank,Loan Department,49,13,9,6,Friday,10,7
Bank,Emergency,64,8,6,50,Wednesday,19,46
Government Office,General,87,14,21,17,Wednesday,14,70
Hospital,Loan Department,64,1,3,46,Wednesday,10,46
Bank,General,95,4,8,39,Friday,10,58
Bank,Loan Department,20,8,4,45,Thursday,8,19
Hospital,Loan Department,81,12,4,41,Wednesday,17,40
Bank,Loan Department,107,1,18,22,Wednesday,17,86
Government Office,General,93,8,4,6,Tuesday,8,25
Bank,Loan Department,102,7,6,46,Saturday,8,63
Hospital,Cardiology,103,14,11,39,Monday,13,65
Bank,General,29,4,17,35,Monday,11,41
Bank,Loan Department,42,5,14,5,Wednesday,11,35
Government Office,Emergency,66,3,12,39,Thursday,16,80
Hospital,General,6,8,14,17,Saturday,18,23
Bank,General,11,13,3,45,Tuesday,9,5
Bank,Loan Department,109,7,14,44,Monday,17,70
Bank,Customer Service,116,7,12,44,Wednesday,17,75
Government Office,Customer Service,111,11,22,35,Friday,16,87
Hospital,Loan Department,78,2,17,8,Monday,19,70
Hospital,Customer Service,11,2,7,47,Friday,16,41
Hospital,Loan Department,70,14,17,52,Thursday,8,58
Hospital,Emergency,26,4,24,56,Monday,11,74
Government Office,General,21,8,2,35,Wednesday,17,7
Government Office,Emergency,39,11,17,51,Friday,20,57
Government Office,Cardiology,109,11,22,39,Thursday,8,77
Hospital,Customer Service,49,6,2,32,Wednesday,11,17
Bank,Customer Service,110,1,18,23,Friday,10,79
Government Office,Emergency,91,13,11,5,Monday,14,49
Government Office,Loan Department,60,6,10,7,Saturday,18,42
Hospital,Customer Service,11,1,16,36,Saturday,8,43
Hospital,Customer Service,111,13,19,42,Saturday,20,80
Hospital,Loan Department,75,12,21,24,Tuesday,8,50
Bank,Loan Department,5,2,20,51,Friday,10,46
Bank,General,101,4,13,40,Saturday,15,92
Hospital,Cardiology,83,6,0,59,Friday,15,68
Government Office,Customer Service,81,13,5,19,Monday,10,15
Bank,Customer Service,58,9,8,53,Wednesday,17,39
Bank,Cardiology,117,8,11,49,Monday,8,81
Government Office,Cardiology,23,13,1,40,Friday,14,19
Bank,Cardiology,11,10,14,51,Friday,10,38
Bank,Emergency,75,14,10,11,Saturday,19,29
Bank,General,97,8,19,43,Friday,11,89
Bank,Emergency,59,13,18,30,Friday,12,55
Bank,General,95,14,18,57,Wednesday,12,76
Government Office,Customer Service,77,5,8,46,Wednesday,16,70
Government Office,Loan Department,83,6,4,33,Tuesday,20,42
Bank,Emergency,68,10,12,33,Saturday,11,52
Bank,General,65,6,7,33,Monday,10,43
Government Office,Cardiology,80,11,1,54,Monday,12,46
Government Office,Emergency,70,2,2,20,Friday,16,49
Hospital,Loan Department,88,9,17,46,Friday,9,63
Government Office,General,97,1,23,27,Monday,18,99
Bank,Loan Department,6,8,1,18,Friday,20,5
Bank,Customer Service,117,13,3,39,Saturday,11,33
Government Office,Loan Department,70,6,21,14,Saturday,15,80
Hospital,General,25,10,9,27,Friday,19,19
Hospital,Emergency,109,4,18,50,Saturday,20,93
Government Office,General,105,4,7,11,Tuesday,9,53
Bank,Loan Department,119,10,24,33,Thursday,9,94
Bank,General,67,5,13,7,Saturday,16,64
Bank,Loan Department,31,12,6,21,Saturday,17,6
Government Office,Customer Service,68,10,17,30,Tuesday,8,50
Bank,Loan Department,51,3,0,12,Wednesday,12,45
Bank,Cardiology,87,9,24,36,Thursday,19,78
Bank,Cardiology,5,3,5,12,Tuesday,19,13
Hospital,Emergency,9,9,21,32,Friday,11,25
Hospital,Customer Service,105,8,8,6,Thursday,12,56
Bank,General,11,1,15,21,Monday,18,34
Hospital,Loan Department,38,1,1,27,Wednesday,18,23
Government Office,Emergency,90,10,1,19,Wednesday,16,48
Government Office,Emergency,91,11,16,13,Saturday,16,68
Government Office,Customer Service,40,9,15,40,Saturday,9,43
Government Office,Customer Service,78,4,21,26,Monday,13,90
Hospital,Emergency,84,4,5,30,Wednesday,20,54
Government Office,Cardiology,78,13,0,56,Wednesday,11,29
Government Office,Cardiology,94,10,11,18,Thursday,18,51
Government Office,Emergency,75,10,18,40,Wednesday,19,60
Government Office,Emergency,94,5,17,18,Wednesday,9,71
Hospital,General,85,14,21,8,Tuesday,17,49
Bank,Emergency,70,7,8,23,Saturday,10,41
Government Office,Emergency,27,5,20,15,Tuesday,9,37
Hospital,Cardiology,109,4,24,36,Wednesday,14,110
Hospital,Customer Service,65,4,18,38,Friday,16,79
Bank,Loan Department,80,2,5,9,Saturday,16,66
Bank,General,9,11,3,13,Friday,13,6
Bank,Cardiology,26,11,9,20,Thursday,20,15
Bank,Customer Service,14,6,16,9,Wednesday,10,23
Bank,Cardiology,74,11,23,51,Saturday,17,72
Government Office,Cardiology,8,8,15,36,Monday,20,19
Bank,Emergency,55,4,2,14,Thursday,15,44
Government Office,General,102,9,16,45,Saturday,10,82
Hospital,Emergency,51,14,6,58,Wednesday,8,27
Hospital,Customer Service,97,11,0,8,Monday,10,23
Bank,Emergency,22,10,7,23,Monday,19,15
Hospital,General,5,8,0,55,Friday,13,14
Hospital,Emergency,89,8,24,51,Tuesday,18,81
Bank,General,21,13,9,35,Saturday,14,25
Hospital,General,74,1,17,41,Friday,19,75
Hospital,Loan Department,84,8,23,17,Wednesday,13,82
Hospital,Loan Department,36,8,15,15,Monday,20,39
Hospital,Cardiology,68,1,24,38,Monday,8,83
Government Office,General,14,4,6,20,Monday,14,31
Hospital,Loan Department,52,4,15,23,Thursday,8,49
Hospital,Loan Department,115,12,20,46,Tuesday,17,77
Hospital,Loan Department,94,3,24,46,Friday,8,92
Bank,Loan Department,83,6,5,56,Tuesday,18,53
Bank,General,97,14,20,9,Friday,16,63
Bank,Loan Department,90,2,2,21,Saturday,11,53
Hospital,General,17,14,21,19,Tuesday,9,18
Bank,Cardiology,7,5,4,41,Saturday,12,29
Bank,General,32,12,17,56,Friday,14,53
Government Office,Emergency,37,10,15,44,Thursday,11,38
Bank,Loan Department,60,14,11,52,Wednesday,15,51
Hospital,Emergency,87,10,6,16,Monday,19,42
Bank,General,58,10,13,15,Monday,14,42
Hospital,General,33,10,8,40,Tuesday,14,39
Bank,Loan Department,13,13,0,38,Monday,8,5
Bank,Loan Department,92,9,6,20,Thursday,20,45
Hospital,Loan Department,15,13,11,46,Monday,10,20
Government Office,Cardiology,16,5,9,24,Tuesday,20,20
Hospital,Loan Department,41,13,11,39,Saturday,12,42
Hospital,Customer Service,44,6,1,54,Monday,20,31
Hospital,Customer Service,66,6,14,9,Friday,16,64
Government Office,Loan Department,5,12,21,42,Thursday,19,33
Government Office,Cardiology,86,10,12,22,Monday,18,54
Hospital,Emergency,91,3,22,29,Friday,10,88
Hospital,Emergency,56,7,24,28,Friday,18,66
Bank,General,13,14,4,34,Monday,15,15
Government Office,Cardiology,112,5,3,44,Friday,15,71
Hospital,Customer Service,115,14,5,9,Thursday,14,49
Hospital,Loan Department,65,4,7,28,Tuesday,9,50
Government Office,Emergency,21,2,20,30,Tuesday,18,53
Government Office,Loan Department,84,7,20,37,Friday,18,79
Bank,Loan Department,112,8,6,38,Monday,13,79
Hospital,Customer Service,77,10,16,16,Thursday,18,51
Hospital,Loan Department,23,11,8,57,Monday,13,49
Hospital,Cardiology,68,8,24,20,Wednesday,16,68
Hospital,Cardiology,84,6,4,25,Thursday,11,47
Hospital,Loan Department,96,1,13,11,Wednesday,16,90
Bank,General,55,1,19,35,Saturday,13,92
Bank,Emergency,118,14,1,46,Thursday,10,40
Bank,Loan Department,31,8,2,43,Friday,18,19
Government Office,Customer Service,92,3,22,16,Monday,20,67
Government Office,General,98,12,21,48,Friday,8,69
Government Office,General,55,14,6,49,Monday,19,30
Bank,General,28,3,18,40,Tuesday,13,59
Government Office,General,28,5,20,58,Monday,20,64
Government Office,Customer Service,49,13,13,43,Tuesday,17,36
Government Office,Emergency,57,2,22,48,Thursday,12,94
Hospital,Loan Department,63,1,3,55,Saturday,13,64
Hospital,Cardiology,84,9,2,36,Thursday,18,40
Hospital,Customer Service,88,14,14,10,Wednesday,12,53
Government Office,Customer Service,9,13,15,5,Thursday,10,5
Hospital,Loan Department,58,11,20,12,Friday,20,44
Hospital,Emergency,82,13,2,40,Saturday,19,20
Government Office,Emergency,88,14,20,49,Wednesday,18,60
Hospital,General,48,14,0,50,Wednesday,20,20
Bank,Loan Department,52,14,0,20,Friday,15,20
Bank,General,119,7,12,13,Friday,8,64
Bank,General,60,9,2,28,Friday,15,37
Government Office,Customer Service,49,8,16,58,Friday,14,72
Bank,Cardiology,18,11,20,34,Saturday,14,47
Hospital,Cardiology,10,7,0,48,Thursday,10,5
Bank,Loan Department,20,12,19,49,Saturday,9,38
Hospital,Customer Service,26,1,20,43,Friday,17,63
Government Office,Cardiology,90,13,12,13,Wednesday,20,32
Hospital,Cardiology,48,5,6,12,Wednesday,18,23
Hospital,Cardiology,109,14,11,40,Friday,12,68
Hospital,General,97,14,0,56,Saturday,15,52
Bank,Emergency,72,8,20,37,Thursday,9,63
Government Office,Loan Department,55,6,15,14,Monday,19,40
Bank,Loan Department,97,11,5,33,Thursday,13,56
Bank,Loan Department,85,5,18,54,Wednesday,15,90
Bank,General,60,7,9,43,Saturday,18,39
Hospital,Customer Service,25,2,2,24,Friday,16,30
Bank,Cardiology,81,3,11,59,Monday,12,85
Bank,General,110,8,8,31,Friday,17,53
Hospital,Loan Department,25,5,7,29,Tuesday,11,31
Bank,Customer Service,46,12,13,8,Thursday,16,39
Hospital,Customer Service,88,2,11,37,Tuesday,12,92
Government Office,Customer Service,111,8,6,40,Thursday,15,78
Hospital,Loan Department,84,4,14,50,Saturday,13,85
Bank,Customer Service,112,10,3,31,Monday,17,46
Government Office,Customer Service,97,9,20,56,Saturday,14,98
Government Office,Emergency,56,11,10,11,Thursday,15,44
Hospital,Emergency,46,4,4,9,Wednesday,12,29
Government Office,Cardiology,98,4,1,50,Thursday,16,68
Hospital,General,118,5,5,47,Tuesday,10,74
Government Office,General,88,12,17,23,Wednesday,16,63
Government Office,Cardiology,77,4,16,21,Monday,10,68
Bank,Emergency,109,5,14,51,Saturday,16,97
Hospital,Customer Service,87,12,2,42,Wednesday,10,38
Hospital,Loan Department,49,11,10,41,Monday,18,31
Government Office,General,13,1,21,5,Thursday,8,39
Bank,Cardiology,27,14,9,12,Wednesday,17,14
Hospital,General,93,6,14,45,Wednesday,19,65
Bank,Emergency,51,7,20,57,Friday,16,80
Bank,Customer Service,6,10,18,18,Tuesday,8,21
Hospital,General,22,4,1,36,Monday,10,10
Government Office,Cardiology,93,12,6,12,Tuesday,20,38
Hospital,Emergency,97,1,5,49,Thursday,13,89
Hospital,Loan Department,111,3,18,14,Tuesday,10,86
Bank,Cardiology,28,13,4,8,Thursday,17,5
Government Office,Loan Department,77,9,16,38,Friday,20,61
Bank,Emergency,64,10,11,25,Thursday,8,36
Government Office,Loan Department,48,3,11,48,Monday,18,43
Government Office,Customer Service,8,4,22,30,Saturday,20,52
Bank,Cardiology,113,2,2,23,Wednesday,17,56
Hospital,Customer Service,119,8,13,14,Tuesday,11,65
Bank,Loan Department,42,13,14,27,Saturday,10,31
Hospital,General,30,10,14,8,Tuesday,19,19
Government Office,Customer Service,70,3,6,59,Wednesday,14,68
Hospital,Cardiology,85,12,18,41,Monday,19,59
Hospital,Cardiology,24,13,12,47,Wednesday,14,40
Hospital,Loan Department,54,12,18,8,Thursday,13,45
Bank,Loan Department,90,7,4,43,Tuesday,13,62
Government Office,Cardiology,101,12,1,32,Thursday,15,43
Hospital,Cardiology,90,1,2,11,Thursday,17,42
Hospital,Cardiology,85,12,8,14,Monday,10,46
Hospital,Loan Department,106,9,0,26,Monday,13,56
Hospital,Loan Department,98,11,7,41,Friday,13,65
Hospital,Emergency,112,12,1,52,Saturday,9,51
Government Office,Loan Department,107,1,11,32,Monday,15,91
Government Office,Emergency,116,9,3,21,Saturday,12,68
Government Office,Emergency,101,14,11,48,Saturday,19,59
Government Office,Customer Service,55,9,16,56,Saturday,19,58
Bank,Customer Service,17,11,7,14,Wednesday,18,5
Bank,Emergency,68,4,7,13,Tuesday,15,55
Hospital,General,47,8,12,25,Friday,16,52
Hospital,Cardiology,39,7,13,19,Tuesday,19,34
Hospital,Emergency,56,4,2,9,Friday,16,36
Hospital,Emergency,51,3,1,48,Monday,10,32
Government Office,Customer Service,95,6,9,7,Wednesday,19,46
Hospital,Customer Service,106,8,24,26,Tuesday,11,82
Bank,Emergency,34,12,24,56,Wednesday,12,69
Hospital,Cardiology,111,6,20,5,Thursday,17,80
Hospital,General,63,6,21,16,Tuesday,14,75
Hospital,Emergency,10,5,15,30,Friday,14,45
Hospital,Customer Service,67,10,19,56,Saturday,19,61
Hospital,Customer Service,57,13,18,51,Monday,17,47
Bank,Loan Department,99,5,2,36,Thursday,10,34
Hospital,Emergency,9,1,5,36,Wednesday,17,17
Bank,General,70,4,14,22,Thursday,15,66
Bank,Emergency,62,13,18,48,Saturday,8,50
Bank,General,114,8,23,24,Thursday,9,77
Bank,Emergency,18,5,8,44,Wednesday,13,45
Bank,General,84,7,13,18,Tuesday,14,64
Hospital,Cardiology,37,1,11,24,Friday,19,34
Government Office,General,43,13,23,26,Monday,10,49
Hospital,Customer Service,116,8,7,27,Tuesday,13,71
Hospital,Loan Department,36,13,5,28,Monday,18,13
Government Office,Emergency,57,3,11,31,Saturday,8,44
Bank,Emergency,108,14,20,53,Saturday,20,81
Government Office,Emergency,17,2,3,34,Monday,16,35
Bank,General,22,14,24,36,Monday,17,37
Bank,General,14,5,16,26,Thursday,12,43
Hospital,Loan Department,48,14,13,12,Thursday,15,36
Government Office,General,41,3,13,45,Thursday,14,59
Government Office,Loan Department,108,14,21,50,Thursday,17,75
Bank,Emergency,18,5,7,7,Thursday,18,22
Government Office,Emergency,39,13,11,51,Thursday,9,27
Government Office,Loan Department,9,7,10,15,Friday,9,12
Bank,Loan Department,82,1,12,46,Saturday,20,69
Bank,Cardiology,37,1,14,20,Saturday,16,61
Hospital,Emergency,60,4,1,31,Tuesday,11,28
Hospital,Cardiology,36,12,6,56,Tuesday,15,36
Hospital,General,91,5,22,16,Tuesday,8,72
Government Office,General,6,13,3,24,Monday,16,8
Hospital,Loan Department,12,12,8,42,Saturday,20,5
Hospital,Emergency,54,2,22,44,Saturday,17,83
Bank,Cardiology,116,9,4,29,Saturday,19,55
Bank,Customer Service,42,11,16,27,Tuesday,16,56
Bank,Emergency,111,12,12,40,Wednesday,19,63
Hospital,Loan Department,102,6,5,54,Monday,14,73
Hospital,Emergency,12,8,0,38,Friday,20,5
Government Office,Customer Service,83,4,24,39,Tuesday,19,91
Hospital,Emergency,59,3,21,9,Monday,20,59
Hospital,Customer Service,32,10,19,37,Friday,20,46
Government Office,Emergency,102,7,5,41,Monday,15,67
Hospital,General,72,2,9,26,Monday,20,55
Bank,General,19,11,8,47,Wednesday,14,38
Bank,General,57,9,24,53,Friday,17,77
Hospital,Emergency,26,11,22,53,Friday,13,66
Government Office,Cardiology,97,1,21,34,Wednesday,11,88
Hospital,General,104,12,21,17,Wednesday,19,64
Bank,Customer Service,12,12,12,47,Tuesday,14,38
Bank,Loan Department,15,12,13,55,Tuesday,17,29
Hospital,Cardiology,100,2,20,21,Friday,19,95
Government Office,Cardiology,8,7,15,16,Monday,20,19
Bank,Customer Service,89,13,16,44,Saturday,12,74
Hospital,General,117,9,14,38,Monday,20,77
Government Office,General,21,1,24,24,Friday,13,84
Bank,Emergency,17,14,5,10,Tuesday,8,5
Hospital,Emergency,98,14,2,27,Monday,8,34
Bank,General,91,4,19,23,Monday,19,78
Hospital,Customer Service,95,9,1,8,Saturday,17,27
Hospital,Emergency,75,2,19,30,Tuesday,20,80
Hospital,Customer Service,23,9,19,46,Friday,17,40
Bank,Emergency,26,13,11,14,Saturday,8,12
Government Office,Cardiology,100,14,7,25,Friday,8,36
Government Office,Cardiology,89,14,3,30,Saturday,17,28
Government Office,General,12,10,15,59,Monday,9,36
Government Office,General,66,14,22,39,Monday,14,69
Government Office,Emergency,19,5,23,32,Monday,14,62
Hospital,Emergency,70,6,12,48,Thursday,13,76
Bank,Cardiology,13,2,16,31,Friday,18,37
Bank,Emergency,68,8,6,38,Wednesday,10,39
Government Office,Cardiology,27,1,24,17,Thursday,19,57
Government Office,Emergency,103,1,14,49,Tuesday,9,76
Hospital,Emergency,81,6,4,36,Friday,12,59
Bank,Emergency,22,5,21,14,Thursday,19,40
Bank,Loan Department,108,5,24,56,Friday,15,114
Hospital,Cardiology,26,4,1,10,Tuesday,14,23
Hospital,General,99,3,6,46,Friday,19,63
Hospital,General,21,13,0,10,Friday,15,5
Bank,Loan Department,113,12,22,54,Saturday,12,113
Hospital,Cardiology,116,1,15,28,Thursday,10,96
